,Name,Duration,Views,UploadDate,Link
0,Daal Mash Recipe | Fry Daal Mash Recipe | Dhaba Style Daal Mash Recipe | OoniZoni Kitchen,5:00,255 ,3 weeks ago,https://youtube.com/watch?v=K2uD4s1JiDI
1,keemay wala pratha | Qeema Pratha | Desi Style Qeema Pratha | Qeemay wala pratha | OoniZoni Kitchen,4:53,192 ,3 weeks ago,https://youtube.com/watch?v=Q4gw79Z-v5A
2,Zinger Shawarma recipe without oven homemade bread | Restaurant Style shawarma | OoniZoni Kitchen,7:41,123 ,4 weeks ago,https://youtube.com/watch?v=h0LZcY7IJ5U
3,KFC style crispy chicken wing piece | homemade chicken wings | KFC fried Chicken | OoniZoni kitchen,4:47,118 ,4 weeks ago,https://youtube.com/watch?v=5YtoY0LFdA0
4,KFC style chicken homemade drumsticks | chicken drumsticks without BBQ | 100% KFC style Drumstick,5:44,142 ,1 month ago,https://youtube.com/watch?v=vjpnlIfVub4
5,Zinger burger | KFC style zinger Burger | chicken zinger burger recipe | OoniZoni Kitchen,6:37,122 ,1 month ago,https://youtube.com/watch?v=XztAYH2LvIw
6,KFC style chicken Hot wings (commercial style),5:44,118 ,1 month ago,https://youtube.com/watch?v=yxDJiNYfEGo
7,Special chicken shawarma  | Lunch Box for kids | Tiffin box | shawarma recipe for kids,5:16,124 ,1 month ago,https://youtube.com/watch?v=FA9JQgj8dBQ
8,کمر درد ،جوڑوں کا درد، مدافعتی نظام، پٹھوں کا کھچاؤ - کے لئے بہترین لڈو | gondh ke laddu | oonizoni,5:11,136 ,1 month ago,https://youtube.com/watch?v=pD0anw-lGj4
9,kFC style crispy chicken Fingers/Tenders/Strips | homemade crispy chicken fingers | zinger fries,4:25,123 ,1 month ago,https://youtube.com/watch?v=mdauqIyTHes
10,Chicken Manchurian with egg fried rice | Restaurant style chicken Manchurian | OoniZoni Kitchen,6:38,162 ,1 month ago,https://youtube.com/watch?v=ijQMEZNldLg
11,Chicken Steak Recipe | chicken Fried Steak | chicken steak with white sauce | OoniZoni Kitchen,5:31,125 ,1 month ago,https://youtube.com/watch?v=hr1w-Acrxtc
